coverage_item,status,evidence_or_reason,frontier_effect,gap_gate_effect,next_action
governance_tool_review,COMPLETE_WITH_MAINTENANCE_NOTE,"00-A numbered list 01-28 plus Exa registry amendment supplies the declared 29 resources; numbering/index is not synchronized",none,none,"repair registry numbering separately from research evidence"
core_l5_frontier,COMPLETE_CURRENT_SET,"0024/0027/0028/0030 retained as bounded L5 members with typed stress fields",frontier_base_available,none,"continue typed normalization only"
pel2_70039_conflict,OPEN,"Table 2/conclusion Vin=30 V; experimental narrative Vin=40 V; experimental efficiency 96.5%; PSpice 97.8%",blocks_record_promotion,blocks_stable_comparator_set,"resolve prototype Vin from exact figure/table/editorial correction or retain conflict"
etep_9317966_direct_scale,STRONG_L4,"48→400 V; 200 W; 100 kHz; D=0.52; measured main stress ~100 V; measured efficiency 95.6%; common ground and continuous input",adds_direct_scale_L4,none,"lock measured maximum diode stress and run L5 contract"
component_count_normalization,PARTIAL,"count bases differ across author tables and schematics",prevents count-based dominance,none,"recount all direct-scale records under frozen common basis"
independent_duplicate_review,NOT_MET,"Firecrawl independent agent failed access; same-GPT reread is not independent",none,blocks_research_gap_candidate,"obtain genuinely independent evidence extraction"
backward_citation_coverage,PARTIAL,"BATCH-004 advanced references but no stopping-rule-compliant exhaustive traversal",adds candidate families,blocks_research_gap_candidate,"continue canonical DOI screening"
forward_citation_coverage,PARTIAL,"exact DOI/index searches do not constitute complete citer graph",none,blocks_research_gap_candidate,"screen forward citers through a citation graph source"
marginal_yield_saturation,NOT_REACHED,"new 2025-2026 direct-scale hardware records continue to appear",frontier still moving,blocks_research_gap_candidate,"continue predefined query families and record marginal yield"
efficiency_boundary_alignment,NOT_MET,"auxiliary/thermal/measurement boundaries differ; measured and simulated roles now separated",efficiency remains descriptor,blocks efficiency frontier/ranking,"extract loss and auxiliary boundaries before any efficiency dominance claim"
overall_stopping_rule,NOT_MET,"independence + citation coverage + saturation + stable comparator conflicts remain open",Pareto study allowed,blocks_research_gap_candidate,"continue direct-scale numeric/coverage closure"
