coverage_item,v02_status,batch004_status,evidence,impact_on_gap_gate,next_action
PC-CAND-0030_structural_fields,blocked,MAJOR_BLOCKER_RESOLVED,"2 switches; 4 diodes; 5 capacitors; 1 coupled-inductor core; Ns/Np=2; duty~0.5; diode stress~0.5Vout",no_longer_blocks_structure_pattern,"retain common-ground/instrument/ripple-quantification as unresolved subfields"
formal_counterexample_audit,first_search_hit,PARTIAL_FORMALIZED,"10.1109/OJPEL.2025.3554381 lawful institutional/final-version path; single switch; lossless snubber needs no extra switch/core; continuous input; common ground",broad_complexity_hypothesis_remains_falsified,"lock measured stress/efficiency locators before any numeric comparator promotion"
recent_direct_scale_search,not_complete,POSITIVE_NEW_YIELD,"10.1049/pel2.70039 and 10.1155/etep/9317966 materially overlap target scale/boundary",blocks_saturation,"audit both to exact L4/L5 boundary or exclude with reason"
backward_citation_snowball,not_complete,PARTIAL,"first-pass topology-relevant references inspected for all core seeds and counterexample",blocks_research_gap_candidate,"complete reference-by-reference screening with DOI dedup and reason codes"
forward_citation_snowball,not_complete,PARTIAL,"exact-DOI web checks performed but exhaustive citer graph not available in current pass",blocks_research_gap_candidate,"run dedicated citation-graph traversal"
second_extraction,partial,SAME_MODEL_REEXTRACTION_COMPLETE,"four core L5 records re-read; 0030 material structural closure recorded",does_not_satisfy_independent_gate,"obtain a genuinely independent extractor/reviewer"
independent_double_extraction,not_complete,NOT_MET,"same-model re-read is explicitly non-independent",blocks_research_gap_candidate,"independent reviewer required before formal gap"
marginal_yield_saturation,not_reached,NOT_REACHED,"three materially useful 2025-2026 candidates emerged from different query families",blocks_research_gap_candidate,"continue until predefined low-yield threshold is achieved across independent query families"
efficiency_boundary_match,not_complete,NOT_MET,"auxiliary power, thermal/cooling, measurement and peak/full-load boundaries are still heterogeneous",blocks_efficiency_causal_or_ranking_claims,"do not rank efficiencies; audit loss/measurement boundaries if efficiency enters a future contract"
overall_stopping_rule,NOT_MET,NOT_MET,"snowball + independence + saturation gates remain open",blocks_research_gap_candidate,"continue coverage closure; no Research Gap Candidate authorization"
