candidate_id,bucket,title,doi,publisher_record_id,journal,publication_year,publication_type,prototype_power,switching_frequency,reported_efficiency,pdf_or_fulltext_url,discovery_sources,staging_status,notes
PC-CAND-0001,CLLC_LLC,Switching Transition Analysis and Optimization for Bidirectional CLLC Resonant DC Transformer,10.1109/TPEL.2021.3125265,IEEE:9601280,IEEE Transactions on Power Electronics,2022,journal_article,18 kW,500 kHz,98.7% peak,https://www.osti.gov/servlets/purl/2441316,Sider Scholar; Exa; OSTI,metadata_verified,Three 750/375 V or 750/750 V prototypes; Sync-ZVS/ACS. Full-text locator audit still required.
PC-CAND-0002,PARTIAL_POWER,Design and Implementation of an 18-kW 500-kHz 98.8% Efficiency High-Density Battery Charger With Partial Power Processing,10.1109/JESTPE.2021.3108717,OSTI:2441273,IEEE Journal of Emerging and Selected Topics in Power Electronics,2022,journal_article,18 kW rated; 25 kW peak,500 kHz,98.8% peak,https://www.osti.gov/servlets/purl/2441273,Sider Scholar; Exa; OSTI,metadata_verified,Bidirectional resonant partial-power architecture; 142 W/in^3 reported. Converter/system efficiency boundary must be audited.
PC-CAND-0003,PARTIAL_POWER,Partial-Power Converter Topology of Type II for Efficient Electric Vehicle Fast Charging,10.1109/JESTPE.2021.3117910,,IEEE Journal of Emerging and Selected Topics in Power Electronics,2022,journal_article,7 kW demonstrator,100 kHz,99.11% peak at 5 kW,https://backend.orbit.dtu.dk/ws/files/259137593/HKKR_Partial_Power_Converter_Topology_of_Type_II_for_Efficient_Electric_Vehicle_Fast_Charging.pdf,Exa; DTU institutional repository,metadata_verified,Type II series partial-power converter; 13.32% partial power ratio reported for one test case.
PC-CAND-0004,PARTIAL_POWER,Revisiting the Partial Power Processing Concept: Case Study of a 5-kW 99.11% Efficient Flyback Converter-Based Battery Charger,10.1109/TTE.2022.3170286,,IEEE Transactions on Transportation Electrification,2022,journal_article,5 kW,,99.11% system efficiency,https://iris.uniroma1.it/handle/11573/1663295,Exa; Sapienza institutional repository,metadata_verified,Important boundary case: low-efficiency auxiliary topology can yield high system efficiency under partial-power processing.
PC-CAND-0005,DAB_BIDIRECTIONAL,Variable Switching Frequency for ZVS over Wide Voltage Range in Dual Active Bridge,10.3390/electronics13101800,,Electronics,2024,journal_article,20 kW nominal; experiments at 10 kW,20-70 kHz,,https://www.mdpi.com/2079-9292/13/10/1800,Exa,metadata_verified,"SiC DAB; uses switching frequency as a control variable to extend ZVS. Efficiency values are secondary, not optimized."
PC-CAND-0006,DAB_BIDIRECTIONAL,A Collaborative Modulation Method of Dual-Side Backflow Power Optimization and Zero-Voltage Switching for Dual Active Bridge,10.3390/en17123019,,Energies,2024,journal_article,500 W,,,https://www.mdpi.com/1996-1073/17/12/3019,Exa,metadata_verified,Targets backflow-power reduction while preserving ZVS across operating regions.
PC-CAND-0007,DAB_BIDIRECTIONAL,Symmetric Optimization Strategy Based on Triple-Phase Shift for Dual-Active Bridge Converters with Low RMS Current and Full ZVS over Ultra-Wide Voltage and Load Ranges,10.3390/electronics14153031,,Electronics,2025,journal_article,2.3 kW,,97.3% maximum,https://www.mdpi.com/2079-9292/14/15/3031,Exa,metadata_verified,Full-range ZVS plus RMS-current minimization; useful for Gain/Load-range versus efficiency trade-off.
PC-CAND-0008,DAB_BIDIRECTIONAL,Analytical and Normalized Equations to Implement the Optimized Triple Phase-Shift Modulation Strategy for DAB Converters,10.1109/JESTPE.2023.3236097,,IEEE Journal of Emerging and Selected Topics in Power Electronics,2023,journal_article,,,,https://upcommons.upc.edu/bitstream/handle/2117/388822/Analytical_and_Normalized_Equations_to_Implement_the_Optimized_Triple_Phase-Shift_Modulation_Strategy_for_DAB_Converters.pdf,Exa; UPC institutional repository,metadata_verified,DOI and journal verified; prototype/numerical locators still require full-text audit.
PC-CAND-0009,HIGH_GAIN,Cost-effective soft-switching ultra-high step-up DC-DC converter with high power density for DC microgrid application,10.1038/s41598-024-71436-w,PMC:PMC11369153,Scientific Reports,2024,journal_article,150 W,50 kHz,95.47%,https://www.nature.com/articles/s41598-024-71436-w,Firecrawl; Exa; Nature/PMC,metadata_verified,20 V to 300 V design target; measured output around 290 V; ZCS on switches/selected diodes.
PC-CAND-0010,WBG_SIC_GAN,99% Efficient 10 kV SiC-Based 7 kV/400 V DC Transformer for Future Data Centers,10.1109/JESTPE.2018.2886139,IEEE:8571261,IEEE Journal of Emerging and Selected Topics in Power Electronics,2019,journal_article,25 kW,48 kHz,99.0% from 13-25.6 kW,https://www.ams-publications.ee.ethz.ch/uploads/tx_ethpublications/21_99_Efficient_10kV_SiC-Based_7kV-400V_Rothmund_Accepted-Version.pdf,Exa; ETH institutional repository; IEEE,metadata_verified,7 kV to 400 V isolated SRC/DC transformer; 3.8 kW/L reported; calorimetric efficiency measurements.
PC-CAND-0011,DAB_BIDIRECTIONAL,Data-Driven Modeling With Experimental Augmentation for the Modulation Strategy of the Dual-Active-Bridge Converter,10.1109/TIE.2023.3265027,IEEE:10100630,IEEE Transactions on Industrial Electronics,2024,journal_article,2 kW,,98.45% peak,https://arxiv.org/pdf/2307.16173,Exa; IEEE,metadata_verified,DOI resolved; arXiv full text located; 2 kW hardware and 98.45% peak efficiency audited in BATCH-001 evidence audit.
PC-CAND-0012,DAB_BIDIRECTIONAL,Analysis and Design of Bidirectional Parallel-Series DAB-Based Converter,10.1109/TPEL.2023.3272336,IEEE:10114590,IEEE Transactions on Power Electronics,2023,journal_article,5 kW,,,https://ieeexplore.ieee.org/document/10114590,Exa; IEEE,metadata_verified,"DOI resolved; publisher metadata confirms 5 kW SiC prototype, but legal public full text was not resolved in this audit."
PC-CAND-0013,PARTIAL_POWER,A ZCS/ZVS DC-DC Partial Power Converter With Reconfigurable H-Bridge and Variable Turns Ratio for an Integrated On-Board Charger,10.1109/TPEL.2024.3426947,IEEE:10596948,IEEE Transactions on Power Electronics,2024,journal_article,2.2 kW scale-down,,98.7% peak,https://ieeexplore.ieee.org/document/10596948,Exa; IEEE,metadata_verified,"DOI resolved; publisher abstract confirms 2.2 kW prototype, ZCS/ZVS and 98.7% peak, but legal public full text was not resolved in this audit."
