claim_id,candidate_id,metric,value,unit,definition,boundary,condition,reported_or_recalculated,section,figure,verification_status,notes
CLM-0028-01,PC-CAND-0028,efficiency_full_load,96.4,%,measured converter efficiency,non-isolated trans-inverse high-gain DC-DC,"Vin=25 V; Vout=400 V; Pout=250 W; fs=50 kHz",reported,Experimental results,Fig. 19,numerically_verified,"Efficiency remains a descriptor; auxiliary-loss inclusion is not matched to other papers."
CLM-0028-02,PC-CAND-0028,switch_voltage_stress,55,V,measured maximum power-switch voltage stress,main power switch,"Vin=25 V; Vout=400 V; Pout=250 W",reported,Experimental results,Fig. 13(a),numerically_verified,"Waveform-derived approximate scalar."
CLM-0028-03,PC-CAND-0028,normalized_switch_stress,0.1375,ratio,measured switch stress / measured output voltage,main power switch,"55 V / 400 V",recalculated,Experimental results,Fig. 13(a),numerically_verified,"Common Vout denominator."
CLM-0028-04,PC-CAND-0028,soft_switching,ZCS,category,main switch zero-current turn-on,main power switch,experimental waveform,reported,Experimental results,Fig. 13(a),numerically_verified,"Quasi-resonant operation also reduces turn-off current."
CLM-0029-01,PC-CAND-0029,efficiency_full_load,94.9,%,measured converter efficiency,non-isolated trans-inverse quasi-Z-source DC-DC,"Vin=25 V; Vout=400 V; Pout=200 W",reported,Experimental verification,Fig. 21,numerically_verified,"Prototype fs intentionally not promoted because it was not independently text-locked in this pass."
CLM-0029-02,PC-CAND-0029,switch_voltage_stress,50,V,measured drain-source voltage stress,single power MOSFET,"nominal load; Vout=400 V",reported,Experimental verification,Fig. 17(a),numerically_verified,"Paper describes this as approximately 12% of Vout."
CLM-0029-03,PC-CAND-0029,normalized_switch_stress,0.125,ratio,measured switch stress / measured output voltage,single power MOSFET,"50 V / 400 V",recalculated,Experimental verification,Fig. 17(a),numerically_verified,"Exact ratio from reported approximate waveform scalar."
CLM-0029-04,PC-CAND-0029,soft_switching,ZCS,category,single power switch zero-current turn-on,single power MOSFET,nominal-load waveform,reported,Experimental verification,Fig. 17(a),numerically_verified,"ZCS reported across operating range; L5 still held on condition-lock gate."
CLM-0030-01,PC-CAND-0030,efficiency_full_load,95.4,%,measured converter efficiency,non-isolated active-clamp high-step-up DC-DC,"Vin=40 V; Vout=400 V; Pout=200 W; fs=100 kHz",reported,Experimental results,Fig. 8,numerically_verified,"Measured full-load value."
CLM-0030-02,PC-CAND-0030,switch_voltage_stress_bound,90,V,measured upper bound on MOSFET voltage stress,main and clamp switches,"full load; Vout=400 V",reported,Experimental results,Fig. 7(a-b),numerically_verified_bound,"Text states stress is <90 V; do not convert to exact 90 V."
CLM-0030-03,PC-CAND-0030,normalized_switch_stress_bound,0.225,ratio,upper bound on switch stress / measured output voltage,main and clamp switches,"<90 V / 400 V",recalculated,Experimental results,Fig. 7(a-b),numerically_verified_bound,"True normalized stress is <0.225."
CLM-0030-04,PC-CAND-0030,soft_switching,ZVS,category,main and clamp switches zero-voltage turn-on,main and clamp switches,full-load waveform,reported,Experimental results,Fig. 7(a-b),numerically_verified,"ZVS design criterion also targets half-load operation."
CLM-0031-01,PC-CAND-0031,efficiency_peak,97,%,measured peak converter efficiency,soft-switching high-step-up boost with voltage multiplier,80% nominal load,reported,Experimental results,Fig. 11,numerically_verified,"Do not treat as full-load efficiency."
CLM-0031-02,PC-CAND-0031,switch_voltage_stress,100,V,approximate measured/clamped switch stress,main and auxiliary switches,"Vout=400 V; approximately one-quarter of output voltage",reported,Experimental results,Fig. 8(a-b),numerically_verified_approx,"Retain approximate qualifier."
CLM-0031-03,PC-CAND-0031,normalized_switch_stress,0.25,ratio,approximate switch stress / output voltage,main and auxiliary switches,"~100 V / 400 V",recalculated,Experimental results,Fig. 8(a-b),numerically_verified_approx,"Approximate only."
CLM-0031-04,PC-CAND-0031,soft_switching,ZVS,category,main and auxiliary switch zero-voltage turn-on,main and auxiliary switches,experimental waveforms,reported,Experimental results,Fig. 8(a-b),numerically_verified,"D2 also has ZCS turn-off."
