gate_id,gate,status,evidence,consequence
FSG4-01,current_l5_record_snapshot,STABLE_WITH_KNOWN_UNKNOWNS,"Eleven bounded L5 records remain admitted; no new L5 promotion in this node","Record count remains 11"
FSG4-02,independent_family_snapshot,STABLE_AT_SIX,"Six independent L5 family credits remain; Habibi is L4 and Jazi lineage is not yet adjudicated","Independent family count remains 6"
FSG4-03,pc_cand_0024_targeted_diode_closure,NOT_CLOSED,"Wiley primary text rechecked; Fig.10 diode measurements located but no exact maximum measured diode scalar text-locked","Retain unresolved measured diode maximum; do not infer from equation or unseen figure scale"
FSG4-04,etep_9317966_targeted_diode_closure,NOT_CLOSED,"Canonical Wiley record and prototype table verified; diode experimental figure located; exact maximum measured diode scalar not reproducibly retrieved","Record remains L4/context"
FSG4-05,habibi_direct_candidate,NEW_L4_DIRECT_YIELD,"DOI 10.1109/TPEL.2023.3344719 author-hosted full text verifies 20->400 V / 200 W / 50 kHz and measured S1~45 V with ZVS","Complete controlled-switch and diode measured stress vectors before L5 decision"
FSG4-06,jazi_direct_candidate,CANONICAL_TARGET_PENDING_VECTOR,"DOI 10.1109/ACCESS.2025.3573936 verifies a 40->400 V / 200 W / 100 kHz direct-scale experiment with soft switching and main-switch~120 V","Full vector/count extraction and lineage dedup required"
FSG4-07,targeted_marginal_yield,POSITIVE,"A genuinely different-author direct-scale Habibi program and an additional direct-scale Jazi target surfaced after broad search was stopped","Search saturation remains false"
FSG4-08,broad_keyword_search,STOPPED,"Previous broad search was intentionally stopped; this node used only unresolved-objective and different-family targeted queries","Do not resume generic keyword expansion"
FSG4-09,independent_packet_review,NOT_COMPLETE,"Firecrawl independent agent failed to start for insufficient credits","independence_missing=true; zero independent review credit"
FSG4-10,legacy_source_routes,PARTIAL_EXHAUSTION,"Sider failed, Firecrawl credit-blocked, Wiley direct open/fetch blocked or timed out for legacy missing-diode targets","Current text routes exhausted; visual/full-PDF route may still close future scalars"
FSG4-11,exploratory_stress_frontier,INTERNAL_ONLY,"No new complete measured stress pair was admitted; prior exploratory screen remains unchanged","No formal Pareto labels"
FSG4-12,formal_all_objective_pareto,NOT_AUTHORIZED_YET,"Independent review missing; measured objective gaps remain; targeted marginal yield positive","Formal Pareto remains blocked"
FSG4-13,research_gap_candidate,NOT_AUTHORIZED,"Stopping and independence gates remain open","No Research Gap claim"
