source_id,record_or_scope,source_kind,locator_or_job,evidence_role,status,notes
DPSI-SRC-001,PC-CAND-0029,Scientific_Reports_PDF,"prior version-of-record audit",primary_experiment,VERIFIED,"Existing v5 evidence retained"
DPSI-SRC-002,FTRIAGE-IEEE-11159317,IEEE_primary_PDF,"Table IV; experimental Figs.12-16; efficiency section",primary_experiment,VERIFIED,"Official licensed PDF supplied by user; closes prior metadata-only blocker; 25→400 V 200 W 50 kHz; switch ~50 V; max measured diode ~180 V"
DPSI-SRC-003,DPSI-HASANPOUR-2023,IEEE_primary_PDF,"prototype Table 5; Figs.15-22",primary_experiment,VERIFIED_WITH_MEASURED_DIODE_GAP,"25→400 V 200 W 50 kHz; switch ~50 V measured; exact measured maximum diode scalar not text-locked"
DPSI-SRC-004,DPSI-HASANPOUR-2025,IEEE_primary_PDF,"Table V; Figs.15-25",primary_experiment,VERIFIED_WITH_BOUNDARY_DIFFERENCE,"25→400 V 200 W 50 kHz; switches ~50 V measured; diode theory ~0.434 Vout; conclusion <40% component-stress statement retained separately"
DPSI-SRC-005,DPSI-ABBASI-2024,IEEE_primary_PDF,"component design; Fig.7 prototype; Fig.8 stress waveforms; Fig.9 efficiency",primary_experiment,VERIFIED,"20→400 V 240 W 50 kHz; complete measured switch and diode stress vectors; input ripple >30%"
DPSI-SRC-006,DPSI-YAO-2023,IEEE_primary_PDF,"Table II/Fig.16; Figs.18-24",primary_experiment,VERIFIED_WITH_MEASURED_STRESS_SCALAR_GAP,"40→~400 V 200 W 500 kHz; ZVS/ZCS and efficiency verified; exact measured maximum voltage-stress scalars not text-locked"
DPSI-SRC-007,DPSI-LIAO-2024,IEEE_primary_PDF,"Table I-II; Figs.8-16",primary_context,VERIFIED,"14/22/32→300 V 180 W 100 kHz; measured switch/diode stress; neighbor output scale"
DPSI-SRC-008,DPSI-DING-2025,IEEE_primary_PDF,"Table I; Table IV; Figs.15-21",primary_context,VERIFIED_WITH_MEASURED_DIODE_GAP,"36-48→380 V 500 W rated; 300 W boundary test; measured switch/D1 stress; D2/D3 maximum measured scalar not text-locked"
DPSI-SRC-009,DPSI-BHASKAR-2026,IEEE_accepted_author_version_PDF,"Table I; Figs.11-13",primary_context,VERIFIED_VERSION_BOUNDARY,"36→650 V 500 W 50 kHz; accepted author version not fully edited; S2=406 V text-locked; measured max diode scalar unresolved"
DPSI-SRC-010,DPSI-OMRAN-2025,IEEE_primary_PDF,"Table II; Figs.10-17",primary_context,VERIFIED_WITH_ALL_DIODE_MAX_GAP,"40-50→1000 V 500 W 200 kHz; N=4; switches ~150 V measured; first-stage diodes ~250 V measured; all-diode measured maximum unresolved"
DPSI-SRC-011,typed_frontier_v6,GitHub_review_artifact,"typed_frontier_v6.csv",working_evidence,CREATED,"Append-only typed snapshot; does not replace original publisher PDFs"
DPSI-SRC-012,stress_frontier_screen,GitHub_review_artifact,"STRESS_FRONTIER_SCREEN_V1.csv",exploratory_analysis,CREATED,"Two-objective stress-only screen; explicitly not formal all-objective Pareto"
DPSI-SRC-013,independent_review,external_independent_reviewer,"not successfully executed in this node",independent_review,NOT_COMPLETE,"No independent-review credit claimed"
