record_a,record_b,screen_scope,status,decisive_tradeoff_or_blocker,authorized_inference
PC-CAND-0027,PC-CAND-0028,"main stress; max diode stress; switches; diodes; capacitors; cores; windings",NO_STRICT_DOMINANCE_CERTIFICATE,"0028 has lower main stress and fewer diodes/capacitors; 0027 has much lower max-diode stress and lower magnetic burden","Both occupy distinct trade-off positions; neither may be called globally better"
PC-CAND-0027,PC-CAND-0030,"main stress; max diode stress; switches; diodes; capacitors; cores; windings",NO_STRICT_DOMINANCE_CERTIFICATE,"0027 uses fewer controlled switches and lower diode stress; 0030 uses fewer diodes/capacitors; 0030 main stress is only an upper bound","No strict dominance; main-stress ordering remains interval-sensitive"
PC-CAND-0028,PC-CAND-0030,"main stress; max diode stress; switches; diodes; capacitors; cores; windings",NO_STRICT_DOMINANCE_CERTIFICATE,"0028 uses one switch and lower reported main stress; 0030 uses fewer cores/windings and has lower max-diode stress context","No strict dominance"
PC-CAND-0024,PC-CAND-0027,"typed structural/stress fields",UNDECIDABLE_FULL_DOMINANCE,"0024 max-diode stress unresolved and main stress only upper bounded; component/magnetic trade-offs remain","No dominance statement"
PC-CAND-0024,PC-CAND-0028,"typed structural/stress fields",UNDECIDABLE_FULL_DOMINANCE,"0024 has one fewer winding but main stress is upper bounded and max-diode stress unresolved","No dominance statement"
PC-CAND-0024,PC-CAND-0030,"typed structural/stress fields",UNDECIDABLE_FULL_DOMINANCE,"0024 and 0030 trade active-switch vs magnetic burden; 0024 max-diode stress unresolved and both main stresses are bounds","No dominance statement"
B004-CAND-0003,PC-CAND-0027,"typed structural/stress fields",NO_STRICT_DOMINANCE_CERTIFICATE,"B004-0003 has fewer diodes/capacitors but more windings and higher main-switch stress; diode maximum unresolved","No dominance statement; B004-0003 is not L5"
B004-CAND-0003,PC-CAND-0028,"typed structural/stress fields",NO_STRICT_DOMINANCE_CERTIFICATE,"B004-0003 has fewer cores but more diodes/capacitors and higher main-switch stress; max diode unresolved","No dominance statement; B004-0003 is not L5"
B004-CAND-0003,PC-CAND-0030,"typed structural/stress fields",NO_STRICT_DOMINANCE_CERTIFICATE,"B004-0003 uses fewer switches but more diodes/capacitors/windings and higher main stress; max diode unresolved","No dominance statement; B004-0003 is not L5"
B004-CAND-0002,ALL,"formal frontier",EXCLUDED,"permanent source-level Vin conflict","May be used as contradiction/context evidence only"
ALL,ALL,"efficiency",NOT_ADMITTED_TO_DOMINANCE,"auxiliary, thermal and measurement boundaries are not matched","No efficiency leaderboard and no efficiency-based Pareto dominance"
ALL,ALL,"overall",NO_GLOBAL_PARETO_OPTIMALITY_CLAIM,"some fields are unresolved/upper-bounded and qualitative integration objectives are not scalarized","Absence of a dominance certificate is not proof that every record is Pareto-optimal"
