source_id,record_or_scope,source_class,status,role,notes
SRC-DS-001,governance,Google_Drive,verified,governance,"GLOBAL + Research Evidence Pipeline + Energy Conversion Evidence Schema + 00-A + 00-B refreshed on 2026-08-12"
SRC-DS-002,tool_registry,Google_Drive,verified,governance,"00-A numbered list exposes 01-28; later Registry Amendment Exa supplies the additional registered resource; numbering maintenance remains"
SRC-DS-003,PC-CAND-0024/GH core,GitHub prior evidence,verified,project_provenance,"BATCH-002 L5 promotion retained; stress remains upper-bound typed"
SRC-DS-004,PC-CAND-0027/GH core,GitHub prior evidence,verified,project_provenance,"BATCH-002 L5 promotion retained"
SRC-DS-005,PC-CAND-0028/GH core,GitHub prior evidence,verified,project_provenance,"BATCH-003 L5 record retained"
SRC-DS-006,PC-CAND-0030/GH core,GitHub + publisher fulltext,verified,project_provenance,"BATCH-004 structural closure retained"
SRC-DS-007,B004-CAND-0002,Wiley/IET publisher indexed fulltext,verified_with_internal_conflict,primary_source,"Table 2 Vin=30 V and experimental efficiency=96.5%; experimental narrative Vin=40 V; Figure 17 describes 97.8% PSpice efficiency; Figure 14 supports measured stress context"
SRC-DS-008,B004-CAND-0002,Tavily,verified_source_discovery,retrieval_provider,"Located Wiley publisher page/PDF and source text; used for cross-validation, not independent review"
SRC-DS-009,B004-CAND-0002,Exa,partial_failed,retrieval_provider,"Search worked partially but direct Wiley fetch failed; not used as sole claim evidence"
SRC-DS-010,B004-CAND-0002,Sider Scholar/OpenAlex,no_result,retrieval_provider,"Exact search returned no result; explicitly not interpreted as literature absence"
SRC-DS-011,B004-CAND-0003,Wiley publisher fulltext,verified,primary_source,"Locks 48→400 V, 200 W, 100 kHz, D=0.52, measured main-switch stress ~100 V, 95.6% measured efficiency at 200 W, common-ground/continuous-input and author count fields"
SRC-DS-012,independent_review,Firecrawl Agent,failed,independent_reviewer_attempt,"Agent could not access requested publishers because of its network/auth restrictions; creditsUsed=0; independence gate remains open"
SRC-DS-013,pdf_parse,Firecrawl,blocked,parser_attempt,"Wiley PDF scrape failed because of insufficient credits; not treated as negative evidence"
