claim_id,candidate_id,metric,value,unit,definition,boundary,condition,reported_or_recalculated,section,figure,table,verification_status,notes
CLM-0001-01,PC-CAND-0001,efficiency,98.7,%,converter conversion efficiency,CLLC-DCX with Sync-ZVS; auxiliary gate-drive/controller/fan losses included,18 kW; DCX I,reported,Section V-E,Fig. 23,,numerically_verified,Type-II transition comparator is 98.3% at 18 kW.
CLM-0001-02,PC-CAND-0001,efficiency_improvement,0.8,percentage_point,Sync-ZVS efficiency improvement versus Type-II transition,same CLLC-DCX hardware comparison,8 kW,reported,Section V-E,Fig. 23,,numerically_verified,Do not treat as absolute efficiency.
CLM-0002-01,PC-CAND-0002,efficiency,98.8,%,total partial-power converter conversion efficiency,complete PP converter; optimal point where post-regulator duty d=0,375 V output; 18 kW,reported,Section V-D,Fig. 27,,numerically_verified,Efficiency decreases as more power is processed by PP DCX/post-regulator away from nominal voltage.
CLM-0002-02,PC-CAND-0002,power_density,142,W/in^3,total converter power density,18 kW rated / 25 kW peak prototype,prototype,reported,Section V-A,Fig. 21,Table VI,numerically_verified,Density definition must be preserved in later cross-paper comparison.
CLM-0003-01,PC-CAND-0003,efficiency,99.11,%,global charging/system conversion efficiency,Type-II series partial-power charger,5 kW output,reported,Section V / Conclusion,efficiency measurement set,,numerically_verified,A separate operating scenario around 6.55 kW is described near 99.04%; do not collapse distinct operating points.
CLM-0003-02,PC-CAND-0003,partial_power_ratio,13.32,%,fraction of total power processed by converter,Type-II PPC low-partiality scenario,450 V input; ~390 V output case,reported,Section V,Fig. 10,Table II,numerically_verified,System efficiency benefit is coupled to this bypass/partiality boundary.
CLM-0004-01,PC-CAND-0004,efficiency,99.12,%,system conversion efficiency,series partial-power flyback; BESS charging direction,550 V battery; 2 A,reported,Section IV,Fig. 11,,numerically_verified,Title-level 99.11% should not replace the direction-specific measured value.
CLM-0004-02,PC-CAND-0004,efficiency,99.08,%,system conversion efficiency,series partial-power flyback; BESS discharging direction,550 V battery; 2 A,reported,Section IV,Fig. 11,,numerically_verified,Direction-specific value.
CLM-0007-01,PC-CAND-0007,efficiency,97.3,%,maximum converter efficiency,DAB with SOS-TPS modulation,2.3 kW experimental platform; operating-point curve in Fig. 18,reported,Experimental validation,Fig. 18(b),,numerically_verified,Full-switch ZVS and RMS-current objective must accompany efficiency comparison.
CLM-0009-01,PC-CAND-0009,efficiency,95.47,%,reported converter efficiency,non-isolated ultra-high step-up converter,150 W; 50 kHz; Vin 20 V; 300 V design target,reported,Experimental Results,Fig. 6,Table 1,numerically_verified,One hardware waveform measures about 290 V / 0.32 A rather than exactly 300 V.
CLM-0009-02,PC-CAND-0009,switch_voltage_stress_S1,37,V,measured switch voltage,power switch S1,experimental waveform,reported,Experimental Results,Fig. 16(a),,numerically_verified,S1 current reported about 10 A and ZCS is visible.
CLM-0009-03,PC-CAND-0009,switch_voltage_stress_S2,55,V,measured switch voltage,power switch S2,experimental waveform,reported,Experimental Results,Fig. 16(b),,numerically_verified,S2 current reported about 11 A and ZCS is visible.
CLM-0010-01,PC-CAND-0010,efficiency,99.0,%,calorimetrically measured DC/DC converter efficiency,7 kV to 400 V isolated SRC/DC transformer,approximately 13-25 kW,reported,Section IV-B,Fig. 16,,numerically_verified,Paper conclusion extends wording to 25.6 kW; measurement uncertainty ±0.08%.
CLM-0010-02,PC-CAND-0010,power_density,3.8,kW/L,converter power density,25 kW reference power,25 kW prototype,reported,Section IV / Conclusion,,,numerically_verified,Compare only with matched volume boundary.
CLM-0011-01,PC-CAND-0011,efficiency,98.45,%,experimental NPC-DAB converter efficiency,D2EA-optimized hybrid modulation,600 W operating point on 2 kW prototype,reported,Experimental validation,Fig. 17,,numerically_verified,Do not confuse with 99.92% modeling accuracy.
CLM-0011-02,PC-CAND-0011,modeling_accuracy,99.92,%,average percentage modeling accuracy,D2EA efficiency surrogate model,validation dataset using simulation + experimental augmentation,reported,Model validation,Fig. 13,,numerically_verified,"This is model accuracy, not power-conversion efficiency."
