record_id,doi,field,prior_value,closure_value,value_type,locator_role,decision,status,note
B004-CAND-0002,10.1049/pel2.70039,prototype_vin,"30|40","30|40",conflict,"Table 2 + experimental section + conclusion",PERMANENT_SOURCE_CONFLICT_TYPED,OPEN,"Table 2 and conclusion report 30 V; experiment-specific narrative reports 40 V. No source-level basis safely eliminates either statement."
B004-CAND-0002,10.1049/pel2.70039,experimental_efficiency,"96.5% experimental; 97.8% PSpice","96.5%",exact_reported,"significant-parameters table",RETAIN_MEASURED_ROLE,CLOSED,"97.8% remains simulation-only context and is prohibited as measured efficiency."
B004-CAND-0002,10.1049/pel2.70039,simulation_efficiency,"97.8%","97.8% at 200 W",exact_reported,"Figure 17 discussion",RETAIN_SIMULATION_ROLE,CLOSED,"PSpice role explicitly separated from experiment."
B004-CAND-0002,10.1049/pel2.70039,main_switch_stress,"~100 V","~100 V",approx,"experimental waveform discussion",RETAIN,CLOSED,"Both controlled switches are described around 100 V."
B004-CAND-0002,10.1049/pel2.70039,max_diode_stress,"~200 V","~200 V",approx,"experimental waveform discussion",RETAIN,CLOSED,"D2 is about twice D1~100 V and DO is about half of 400 V."
B004-CAND-0002,10.1049/pel2.70039,comparison_level,L3_CONTEXT,L3_CONTEXT,state,"source conflict gate",NO_PROMOTION,CLOSED,"Vin conflict prevents direct frontier promotion despite other measured fields."
B004-CAND-0003,10.1155/etep/9317966,prototype_vin,48 V,48 V,exact,"prototype/design table",RETAIN,CLOSED,"Direct-scale point remains source locked."
B004-CAND-0003,10.1155/etep/9317966,main_switch_stress,"~100 V","~100 V",approx,"Figure 11(a) experimental text",RETAIN,CLOSED,"Measured main-switch maximum stress is text locked."
B004-CAND-0003,10.1155/etep/9317966,max_diode_stress,unresolved,unresolved,unresolved,"Figure 11(b-h)",DO_NOT_INFER,OPEN,"Measured diode waveforms are shown and ZCS is described, but supplied publisher text does not state an exact maximum measured diode-voltage scalar. Theory/device ratings cannot substitute."
B004-CAND-0003,10.1155/etep/9317966,measured_efficiency,"95.6% at 200 W","95.6% at 200 W",exact_reported,"experimental efficiency curve/text",RETAIN,CLOSED,"Measured descriptor remains separate from calculated loss-model efficiency."
B004-CAND-0003,10.1155/etep/9317966,calculated_efficiency,"95.9%","95.9%",exact_reported,"loss calculation",RETAIN_CALCULATED_ROLE,CLOSED,"Not mixed with measured efficiency."
B004-CAND-0003,10.1155/etep/9317966,capacitor_count,"author=5","author=5; unified schematic=6",basis_typed,"author comparison table + topology text",COUNT_BASIS_DIFFERENCE,CLOSED,"Snubber capacitor Cs is additional to C1/C2/CO1/CO2/CO3 under the frozen schematic-discrete basis."
B004-CAND-0003,10.1155/etep/9317966,comparison_level,L4_NUMERICALLY_VERIFIED,L4_NUMERICALLY_VERIFIED,state,"L5 contract",NO_L5_PROMOTION,CLOSED,"Measured maximum diode stress and full independent-review gate remain unresolved."
