gate_id,gate,status,evidence,consequence
FSG3-01,current_l5_record_snapshot,STABLE_WITH_KNOWN_UNKNOWNS,"Eleven bounded L5 records are typed in v6 with measured/theory/upper-bound/unresolved semantics preserved","Snapshot is usable for bounded tradeoff analysis but does not prove saturation"
FSG3-02,independent_family_dedup,CLOSED,"Eleven bounded L5 records map to six independent-family credits","Do not treat paper count as independent validation count"
FSG3-03,ieee_11159317_fulltext_audit,CLOSED,"Official primary PDF locks 25→400 V 200 W 50 kHz; measured switch≈50 V; max measured diode≈180 V; full-load efficiency≈96.6%","Former DIRECT_SCALE_UNAUDITED blocker removed; record admitted L5 bounded"
FSG3-04,six_new_pdf_boundary_screen,CLOSED,"Two direct-scale, two neighbor-scale, two high-voltage/high-power context records identified from primary PDFs","No cross-scale ranking; only direct records can receive new L5 admission"
FSG3-05,new_independent_direct_families,CLOSED,"Abbasi/Kashani/Rezaie and Yao/Guan programs add two independent direct-scale families","Independent L5 family count increases from four to six"
FSG3-06,primary_stress_vector_closure,PARTIAL,"Abbasi provides complete measured switch/diode vector; Yao and several Hasanpour/Ding records retain measured diode/stress scalar gaps","All-objective frontier remains incomplete for records with unresolved measured maxima"
FSG3-07,legacy_missing_diode_stress,NOT_CLOSED,"PC-CAND-0024 and 10.1155/etep/9317966 still lack text-locked maximum measured diode-stress scalar","All-objective frontier remains incomplete"
FSG3-08,independent_source_or_packet_review,NOT_COMPLETE,"No independent reviewer successfully interpreted the expanded direct-scale packet in this node","Formal high-impact conclusions remain blocked; independence_missing=true"
FSG3-09,marginal_yield,POSITIVE,"The six-PDF acquisition batch added two independent direct-scale L5 families and closed three Hasanpour direct-source records","Formal search saturation cannot yet be declared"
FSG3-10,broad_keyword_search,STOP_BROAD_SWITCH_TO_TARGETED,"Repeated author/topology lineages are saturated and the batch has been screened","Future acquisition should be targeted only at unresolved objectives or genuinely different direct-scale families"
FSG3-11,exploratory_stress_pair_screen,AUTHORIZED_INTERNAL_ONLY,"Measured stress pair shows PC-CAND-0027 and IEEE11159317 as robust tradeoff candidates; several records are strictly stress-pair dominated; theory/upper-bound cases remain indeterminate","May guide evidence acquisition but must not be labeled formal Pareto"
FSG3-12,formal_all_objective_pareto,NOT_AUTHORIZED_YET,"Independent review missing; objective gaps remain; cross-boundary theory/measured values exist; stopping rule not met","No formal Pareto-optimal labels"
FSG3-13,research_gap_candidate,NOT_AUTHORIZED,"Burden-redistribution hypothesis is strengthened but upstream independence/stability gates remain open","Do not state a final Research Gap claim"
