record_id,doi,evidence_level,frontier_role,vin_v,vin_type,vout_v,vout_type,pout_w,pout_type,fs_khz,fs_type,controlled_switches_total,discrete_diodes_total,capacitors_total,magnetic_cores_total,windings_total,normalized_max_controlled_switch_stress,normalized_max_controlled_switch_stress_type,normalized_max_diode_stress,normalized_diode_stress_type,measured_efficiency,frontier_admission,evidence_family_v2,independent_l5_family_credit,stability_status
PC-CAND-0024,10.1049/iet-pel.2015.0923,L5_COMPARISON_READY,DIRECT_CORE,25,exact,400,exact,200,exact,88,exact,1,4,5,2,3,"<0.25",upper_bound,unresolved,unresolved,"96.4% full load",BOUNDED_MEMBER,FOROUZESH_QUASI_RESONANT,yes,TARGETED_RECHECK_NO_MEASURED_DIODE_SCALAR
PC-CAND-0027,10.1038/s41598-024-78739-y,L5_COMPARISON_READY,DIRECT_CORE,24,exact,400,exact,200,exact,50,exact,1,8,8,1,2,0.155,approx,0.275,approx,"94.53% full load",BOUNDED_MEMBER,SEPAHVANDI_CISC,yes,STABLE_RECORD
PC-CAND-0028,10.1038/s41598-025-17301-w,L5_COMPARISON_READY,DIRECT_CORE,25,exact,400,exact,250,exact,50,exact,1,4,5,2,4,0.1375,approx,0.60,approx,"96.4% full load",BOUNDED_MEMBER,HASANPOUR_TRANSINVERSE,yes,STABLE_RECORD
PC-CAND-0029,10.1038/s41598-026-47061-0,L5_COMPARISON_READY,DIRECT_PROMOTED,25,exact,400,exact,200,exact,50,exact,1,4,5,2,4,0.125,approx,0.75,approx,"94.9% full load",BOUNDED_MEMBER,HASANPOUR_NOURI_QZS,no,STABLE_RECORD_RELATED_FAMILY
PC-CAND-0030,10.1049/iet-pel.2015.0870,L5_COMPARISON_READY,DIRECT_CORE,40,exact,400,exact,200,exact,100,exact,2,4,5,1,2,"<0.225",upper_bound,0.50,approx,"95.4% full load",BOUNDED_MEMBER,MOLAVI_SOFTSWITCH,yes,STABLE_RECORD
FEXP-CAND-0001,10.1038/s41598-025-90093-1,L5_COMPARISON_READY,DIRECT_CORE,25,exact,400,exact,200,exact,50,exact,2,5,5,2,3,0.275,approx,0.5875,approx,"95.9% full load; 96.2% max at 160 W",BOUNDED_MEMBER,HASANPOUR_QUADRATIC_COLLAB,no,STABLE_RECORD_RELATED_FAMILY
B004-CAND-0002,10.1049/pel2.70039,L3_CONTEXT,DIRECT_CONFLICT,"30|40",conflict,400,exact,200,exact,100,exact,2,3,5,2,3,0.25,approx,0.50,approx,"96.5% experimental",EXCLUDED_FROM_FORMAL_FRONTIER,PEL270039_CONFLICT,no,PERMANENT_SOURCE_CONFLICT
B004-CAND-0003,10.1155/etep/9317966,L4_NUMERICALLY_VERIFIED,DIRECT_NEW_L4,48,exact,400,exact,200,exact,100,exact,1,7,6,1,4,0.25,approx,unresolved,unresolved,"95.6% at 200 W",CONTEXT_NOT_L5,ETEP9317966,no,TARGETED_RECHECK_NO_MEASURED_DIODE_SCALAR
FEXP-CAND-0002,10.1038/s41598-026-64796-y,L3_CONTEXT,DIRECT_CONFLICT,25,exact,400,exact,"200|250",conflict,50,exact,1,3,4,2,4,0.135,approx,unresolved,unresolved,"~96.7% at 200 W statement",EXCLUDED_FROM_FORMAL_FRONTIER,HASANPOUR_TRANSINVERSE_2026,no,WAIT_FINAL_EDITED_VERSION
FTRIAGE-IEEE-11159317,10.1109/TPEL.2025.3608899,L5_COMPARISON_READY,DIRECT_PRIMARY_INTEGRATED,25,exact,400,exact,200,exact,50,exact,1,5,6,2,4,0.125,recalculated_from_measured,0.45,recalculated_from_measured,"~96.6% full load",BOUNDED_MEMBER,HASANPOUR_NOURI_TWBIT_CWVM,no,STABLE_PRIMARY_SOURCE_RECORD
DPSI-HASANPOUR-2023,10.1109/OJPEL.2023.3275651,L5_COMPARISON_READY,DIRECT_PRIMARY_INTEGRATED,25,exact,400,exact,200,exact,50,exact,2,2,4,2,4,0.125,approx_measured,0.875,theory_at_prototype,"~95.8% peak at 120 W; full-load exact unresolved",BOUNDED_MEMBER,HASANPOUR_TRANSINVERSE_ACTIVE_CLAMP,no,MEASURED_DIODE_SCALAR_UNRESOLVED
DPSI-HASANPOUR-2025,10.1109/TPEL.2025.3552015,L5_COMPARISON_READY,DIRECT_PRIMARY_INTEGRATED,25,exact,400,exact,200,exact,50,exact,2,4,6,2,3,0.125,approx_measured,0.4342,theory_at_prototype,"~96.3% full load; 96.6% peak at 100 W",BOUNDED_MEMBER,HASANPOUR_NOURI_ACTIVE_CLAMP_QR,no,THEORY_MEASUREMENT_BOUNDARY_DIFFERENCE
