run_id,date_time,variant,Vin_V,Pout_W,Vout_Vrms,load_type,PF,ambient_C,device_or_group,measurement_id,signal_1,signal_2,reference_net,fs_Hz,duty_pct,deadtime_ns,VGS_high_V,VGS_min_V,VGS_overshoot_V,VGS_undershoot_V,VDS_off_V,VDS_on_V,VDS_peak_V,ringing_MHz,Iavg_A,Irms_A,Ipeak_A,volt_second_Vs,Pavg_W,temperature_C,voltage_probe,current_probe,probe_bandwidth_MHz,scope_bandwidth_MHz,sample_rate_Sps,deskew_ns,thermal_stabilized,notes
,,,,,,,,,SYSTEM,W0,I_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DA1_DRIVER,W1,DA1-G,DA1-E,DA1-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DB1_DRIVER,W2,DB1-G,DB1-E,DB1-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DA2_DRIVER,W3,DA2-G,DA2-E,DA2-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,DB2_DRIVER,W4,DB2-G,DB2-E,DB2-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q3,W5,Q3-G,Q3-S,DA1-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q11,W6,Q11-G,Q11-S,DB1-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q18,W7,Q18-G,Q18-S,DA2-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q24,W8,Q24-G,Q24-S,DB2-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q3,W9,Q3-D,Q3-S,DA1-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q11,W10,Q11-D,Q11-S,DB1-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q18,W11,Q18-D,Q18-S,DA2-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Q24,W12,Q24-D,Q24-S,DB2-E,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,T1,W13,I_T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,T2,W14,I_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,T1_PRIMARY,W15,V_primary_T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,T2_PRIMARY,W16,V_primary_T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
