candidate_id,doi,metadata_status,fulltext_status,fulltext_source,evidence_level,experiment_section,prototype_locator,numeric_locator,prototype_power,switching_frequency,key_verified_claim,boundary_note,audit_decision,audit_reason
PC-CAND-0001,10.1109/TPEL.2021.3125265,verified,legal_public_accepted_manuscript,OSTI accepted manuscript,L4_NUMERICALLY_VERIFIED,Section V - Hardware Prototype and Experimental Results,Fig. 15; Table II,Fig. 17; Fig. 21-23,18 kW,~500 kHz; DCX I optimized 455 kHz,98.7% conversion efficiency at 18 kW with Sync-ZVS; full-load Sync-ZVS evidence,"Converter/DCX efficiency; auxiliary gate-drive, controller and fan losses included",promote_L4,"Hardware, ZVS transition and efficiency have explicit full-text locators."
PC-CAND-0002,10.1109/JESTPE.2021.3108717,verified,legal_public_accepted_manuscript,OSTI accepted manuscript,L4_NUMERICALLY_VERIFIED,Section V - Experimental Results,Fig. 21; Table VI,Fig. 22; Fig. 27-28,18 kW rated; 25 kW peak,500 kHz,98.8% total PP-converter efficiency at 375 V / 18 kW; 142 W/in^3,Multi-stage partial-power converter boundary; efficiency worsens away from 375 V as processed fraction rises,promote_L4,"Prototype, measurement instrument, efficiency curve and loss breakdown are located."
PC-CAND-0003,10.1109/JESTPE.2021.3117910,verified,institutional_peer_reviewed_fulltext,DTU Orbit peer-reviewed version,L4_NUMERICALLY_VERIFIED,Section V - Experimental Results,Fig. 8; Table II,Fig. 9-10; efficiency measurements,7 kW demonstrator,100 kHz,99.11% peak global charging efficiency at 5 kW; 13.32% partial-power ratio in low-partiality case,System/global partial-power efficiency; not directly comparable to full-power converter efficiency,promote_L4,Full experimental setup and partiality-dependent efficiency behavior are located.
PC-CAND-0004,10.1109/TTE.2022.3170286,verified,institutional_final_published_fulltext,TU Delft repository; embargo expired,L4_NUMERICALLY_VERIFIED,Section IV - Experimental Results,Fig. 9,Fig. 11-13,5 kW BESS interface; 5.5 kW flyback implementation,,99.12% charging and 99.08% discharging at 550 V / 2 A,Series partial-power system efficiency; direction-specific values must remain separate,promote_L4,Hardware and direction-specific efficiency/processed-power measurements are explicitly located.
PC-CAND-0005,10.3390/electronics13101800,verified,publisher_open_access,MDPI Electronics,L3_EXPERIMENT_LOCATED,Experimental Results,Fig. 8,Fig. 9-11,20 kW nominal devices; tests at 10 kW,20-70 kHz,Variable frequency moves tested operating points into ZVS region over wide voltage ratio,Paper states displayed efficiencies are reference values and converter is not efficiency-optimized,promote_L3,Hardware and ZVS experimental waveforms are located; efficiency is not admitted as a comparison claim yet.
PC-CAND-0006,10.3390/en17123019,verified,publisher_open_access,MDPI Energies,L3_EXPERIMENT_LOCATED,Experimental validation,Fig. 13,Fig. 14-21,500 W,,Backflow-power reduction while maintaining primary/secondary ZVS across tested regions,"Primary objective is backflow/ZVS coordination, not a verified peak-efficiency claim",promote_L3,Prototype and qualitative/operating-point ZVS evidence are located; quantitative backflow extraction remains pending.
PC-CAND-0007,10.3390/electronics14153031,verified,publisher_open_access,MDPI Electronics,L4_NUMERICALLY_VERIFIED,Experimental platform and validation,Fig. 11,Fig. 12-18,2.3 kW,,97.3% maximum efficiency; full-switch ZVS and RMS-current behavior across tested wide ratios,DAB modulation/control efficiency under SOS-TPS; operating ratio/load must accompany comparisons,promote_L4,"Prototype, ZVS waveforms, RMS-current comparison and efficiency plot are located."
PC-CAND-0008,10.1109/JESTPE.2023.3236097,verified,institutional_open_access,UPC / CONICET repository,L3_EXPERIMENT_LOCATED,Section V - Experimental Results,Fig. 17; Table II,Fig. 18-25,4 kW,,Algorithm evaluation <2.8 us; closed-loop changes 750 us while maintaining minimum RMS current under ZVS,Control/modulation implementation metrics; exact efficiency values from Fig. 25 not yet extracted,promote_L3,Open-access record and experimental locators are established; comparison efficiency values remain pending.
PC-CAND-0009,10.1038/s41598-024-71436-w,verified,publisher_open_access,Scientific Reports / PMC,L4_NUMERICALLY_VERIFIED,Experimental Results,Table 5; Fig. 15,Fig. 6; Fig. 16-17,150 W,50 kHz,95.47% reported efficiency; measured output about 290 V / 0.32 A; ZCS switch/diode waveforms,Non-isolated high-gain converter; 300 V is design target while one measured waveform is about 290 V,promote_L4,"Efficiency, hardware parameters, measured stress and ZCS locators are available."
PC-CAND-0010,10.1109/JESTPE.2018.2886139,verified,institutional_accepted_manuscript,ETH accepted manuscript,L4_NUMERICALLY_VERIFIED,Section IV - Experimental Setup and Results,Table I,Fig. 16-17,25 kW,48 kHz,99.0% calorimetric efficiency over roughly 13-25 kW; measurement uncertainty ±0.08%; 3.8 kW/L,Isolated 7 kV-to-400 V SRC/DC-transformer efficiency; calorimetric boundary,promote_L4,"Hardware specification, ZVS operation, efficiency curve, loss distribution and uncertainty are located."
PC-CAND-0011,10.1109/TIE.2023.3265027,verified,public_author_preprint,arXiv 2307.16173,L4_NUMERICALLY_VERIFIED,Hardware experiment / validation section,Fig. 10,Fig. 11-13; Fig. 17,2 kW,,98.45% peak experimental efficiency at 600 W; 99.92% efficiency-modeling accuracy,Converter efficiency and model accuracy are separate metrics and must never be merged,promote_L4,"DOI resolved; hardware, instrument, modeling accuracy and efficiency comparison locators found in public full text."
