source_id,record_or_scope,source_kind,locator_or_job,evidence_role,status,notes
FSTAB-SRC-001,10.1038/s41598-026-64796-y,Scientific_Reports_HTML,"current publisher article page, checked 2026-08-12",final_version_check,VERIFIED,"page still states unedited early-access; abstract states 200 W"
FSTAB-SRC-002,10.1038/s41598-026-64796-y,Scientific_Reports_accepted_manuscript,"prior audited PDF text: experiment section/Table IV/efficiency/conclusion",contradiction_evidence,VERIFIED_TEXT_VISUAL_BLOCKED,"experiment narrative 250 W versus 200 W elsewhere; prior screenshot cache failed"
FSTAB-SRC-003,PC-CAND-0027,Scientific_Reports_HTML,"author information",family_dedup,VERIFIED,"Sepahvandi/Rezaeealam/Mikhak-Beyranvand group"
FSTAB-SRC-004,PC-CAND-0028,Scientific_Reports_HTML,"author information/contributions",family_dedup,VERIFIED,"Sara Hasanpour sole author, methodology and corresponding"
FSTAB-SRC-005,FEXP-CAND-0001,Scientific_Reports_HTML,"author information/contributions",family_dedup,VERIFIED,"Hosseini + Hasanpour methodology; Hasanpour corresponding"
FSTAB-SRC-006,BATCH-003,GitHub,"research/batches/BATCH-003/evidence_families.csv",prior_family_policy,VERIFIED,"existing 0024/0027/0028/0030 independent-family mapping"
FSTAB-SRC-007,all_five_L5,Firecrawl_spark1pro,"job 019ff47d-e3f0-71ee-b1f9-0bab3cf275ed",independent_review,FAILED_SOURCE_AUTH,"all five publisher URLs inaccessible to independent agent; zero-credit failure; no extraction claimed"
FSTAB-SRC-008,Nature_three_L5,Firecrawl_spark1pro,"job 019ff47f-716b-7151-be28-859babd290a8",independent_review,FAILED_MAX_CREDITS,"0027/0028/FEXP-0001 neutral review reached terminal failed state; creditsUsed=0; no extraction returned"
FSTAB-SRC-009,Wiley_two_L5,Firecrawl_spark1pro,"neutral two-paper reviewer request",independent_review,FAILED_INSUFFICIENT_CREDITS,"0024/0030 review could not start"
FSTAB-SRC-010,recent_2025plus,Sider_OpenAlex,"query: high step-up 400 V 200 W DC-DC converter; from 2025",coverage_search,POSITIVE_YIELD,"returned additional frontier-relevant records; saturation false"
FSTAB-SRC-011,recent_direct_scale,IEEE_Xplore,"document 11159317",coverage_search,PRIMARY_METADATA_VERIFIED,"Sara Hasanpour and Tohid Nouri; abstract states 200 W, 25→400 V, 50 kHz prototype"
