candidate_id,target_set,bucket,title,doi,journal,publication_year,publication_type,prototype_power,input_voltage,output_voltage,switching_frequency,reported_metric,fulltext_source,acquisition_fit,acquisition_status,next_gate,notes
PC-CAND-0014,COMP-PP-001,PARTIAL_POWER,Design and implementation of a 22 kW full-bridge push-pull series partial power converter for stationary battery energy storage system with battery charger,10.1177/0020294020944944,Measurement and Control,2020,journal_article,22 kW,180-265 V,220 V,20 kHz,"97-99% reported efficiency; converter designed for 20% of full power (4.4 kW of 22 kW)",SAGE publisher open-access full text,EXACT_TARGET,fulltext_ready,"Lock point-by-point system efficiency and Pconv/Ptotal boundary from Table 4 / Figs. 21-22","Strong COMP-PP candidate: explicit processed-power design fraction, hardware measurement instruments and 22 kW scale."
PC-CAND-0015,COMP-PP-001,PARTIAL_POWER,Design Considerations of Bidirectional Half-Bridge Push-Pull Partial Power Processing Converters for Battery Energy Storage Systems,10.3390/en19020432,Energies,2026,journal_article,15 kW,not_locked,not_locked,not_locked,">99.4% peak system efficiency reported; converter efficiency and system efficiency intentionally separated",MDPI publisher open access,EXACT_TARGET,fulltext_ready,"Extract processed-power fraction versus voltage/direction at the same efficiency points","Strong boundary case inside 5-25 kW target; must not collapse converter and system efficiency."
PC-CAND-0016,COMP-PP-001,PARTIAL_POWER,High-Efficiency Partial Power Converter for Integration of Second-Life Battery Energy Storage Systems in DC Microgrids,10.1109/OJIES.2024.3389466,IEEE Open Journal of the Industrial Electronics Society,2024,journal_article,4 kW,"350 V ±30 V bus","350 V ±30 V battery",75 kHz,"up to 99.45% system efficiency; approximately 17% processed-power ratio reported",IEEE open-journal / author-accessible full text,NEAR_TARGET,fulltext_ready,"Audit exact Kpr definition, auxiliary losses and matched voltage/power points","Slightly below 5 kW target but unusually useful because processed-power ratio and high system efficiency are both explicit."
PC-CAND-0017,COMP-PP-001,PARTIAL_POWER,Performance evaluation of a series-connected step-up/down partial power converter for battery energy storage applications,10.1038/s41598-026-35857-z,Scientific Reports,2026,journal_article,1.1 kW,48 V dc bus,"40-56 V battery",not_locked,"14.3% active power processed at full load; peak system efficiency 98.15% at 48 V battery",Scientific Reports publisher open access,CONTEXT_NEAR_TARGET,fulltext_ready,"Lock direction-specific Kpr and efficiency points plus measurement boundary","Below target power band; retained as mechanistic/context evidence, not direct scale comparator."
PC-CAND-0018,COMP-DAB-001,DAB_BIDIRECTIONAL,Automatic Triple Phase Shift Modulation for DAB Converter with Minimized Power Loss,10.1109/TIA.2021.3136501,IEEE Transactions on Industry Applications,2022,journal_article,1 kW,200 V,"160-230 V",20 kHz,"hardware-validated efficiency-oriented TPS; Pout 100-1000 W",DTU institutional accepted manuscript,EXACT_TARGET,fulltext_ready,"Extract exact efficiency curve, RMS-current values, ZVS regions and matched Vin/Vout/load points","Meets the 1-5 kW DAB target and provides a conventional DAB hardware platform with explicit operating ranges."
PC-CAND-0019,COMP-DAB-001,DAB_BIDIRECTIONAL,A Verification of Applying Superjunction MOSFETs in Dual-Active-Bridge Converters Operated with Minimal RMS Current,10.1541/ieejjia.24004235,IEEJ Journal of Industry Applications,2025,journal_article,1 kW,not_locked,not_locked,not_locked,"wide-operating-range ZVS with minimal/controlled switching current on fabricated DAB prototype",J-STAGE publisher free full text,EXACT_TARGET,fulltext_ready,"Extract Vin/Vout/fs, RMS-current metric, dead-time/ZVS range and measured efficiency if reported","Useful independent DAB hardware comparator; efficiency admission remains pending."
PC-CAND-0020,COMP-DCX-001,DCX_CLLC,High-Frequency Transformer Design for Modular Power Conversion From Medium-Voltage AC to 400 VDC,10.1109/TPEL.2017.2774440,IEEE Transactions on Power Electronics,2018,journal_article,15 kW,cell_voltage_not_locked,400 V,500 kHz,"approximately 98% converter efficiency; 2.9 kW/L reported power density",OSTI / publisher-linked public record,EXACT_FREQUENCY_POWER,fulltext_ready,"Lock converter-cell electrical boundary, auxiliary-loss inclusion and volume definition","Directly fills the 10-30 kW / 300-600 kHz DCX acquisition target; voltage-class normalization still required."
PC-CAND-0021,COMP-DCX-001,DCX_TOPOLOGY_COMPARISON,Comparison of Bi-Directional Topologies for On-Board Charger: A 10.9 kW High-Efficiency High Power Density of DC-DC Stage,10.3390/en17215496,Energies,2024,journal_article,10.9 kW,400_V_class_system,400_V_class_battery,"CLLC resonance tuned near 200 kHz; DAB condition separately defined","same-design-constraint DAB vs CLLC hardware comparison; target power density 5.5 kW/L",MDPI publisher open access,SAME_PLATFORM_CONTEXT,fulltext_ready,"Extract per-topology efficiency curves, exact fs, Vin/Vout and included-volume boundary","Exceptionally useful controlled comparison because both topologies are built under the same power-density target, but frequency is below current DCX direct band."
PC-CAND-0022,COMP-DCX-001,DCX_TWO_STAGE,A Two-Stage DC-DC Isolated Converter for Battery-Charging Applications,10.1109/OJPEL.2023.3271227,IEEE Open Journal of Power Electronics,2023,journal_article,10 kW,800 V,"250-500 V",not_locked,"wide-output-range high-efficiency hardware using CLLC/DCX isolation plus twin-bus buck post-regulator",University of Padua institutional full text / IEEE open journal,BOUNDARY_CONTEXT,fulltext_ready,"Extract stage and total-system efficiencies separately; lock DCX-stage fs and auxiliary boundary","Two-stage architecture is not a pure DCX scalar comparator; retained for boundary-aware trade-off analysis."
PC-CAND-0023,COMP-HG-001,HIGH_GAIN,A Hybrid DC-DC Quadrupler Boost Converter for Photovoltaic Panels Integration into a DC Distribution System,10.3390/electronics9111965,Electronics,2020,journal_article,195 W,20 V,400 V,50 kHz,">97% maximum efficiency reported; reduced semiconductor voltage stress",MDPI publisher open access,EXACT_TARGET,fulltext_ready,"Extract measured switch/diode stress and exact efficiency/load point; mark soft-switching capability explicitly","Excellent matched-scale comparator for 20-40 V to 300-400 V high-gain set."
