candidate_id,field,prior_status,batch004_value,batch004_status,source_role,notes
PC-CAND-0030,main_switches,not_text_locked,1,text_locked,publisher_fulltext,"Main power switch S1."
PC-CAND-0030,aux_switches,not_text_locked,1,text_locked,publisher_fulltext,"Active-clamp switch S2."
PC-CAND-0030,total_switches,not_text_locked,2,text_locked,publisher_fulltext,"Main plus active-clamp switch."
PC-CAND-0030,diodes,not_text_locked,4,text_locked,publisher_fulltext,"D1-D4."
PC-CAND-0030,capacitors,not_text_locked,5,text_locked,publisher_fulltext,"Cc, C1, C2, Co1, Co2."
PC-CAND-0030,magnetic_cores,not_text_locked,1,text_locked,publisher_fulltext,"One EE-42 coupled-inductor core."
PC-CAND-0030,winding_structure,not_text_locked,"two-winding coupled inductor",text_locked,publisher_fulltext,"Prototype reports Ns/Np ratio and coupled-inductor parameters."
PC-CAND-0030,turns_ratio,not_text_locked,"Ns/Np = 2",text_locked,publisher_fulltext,"Do not reinterpret ratio convention."
PC-CAND-0030,magnetizing_inductance,not_text_locked,"100 uH",text_locked,publisher_fulltext,"Prototype parameter."
PC-CAND-0030,leakage_inductance,not_text_locked,"8 uH",text_locked,publisher_fulltext,"Prototype parameter."
PC-CAND-0030,duty,not_text_locked,"approximately 0.5",text_locked_approx,publisher_fulltext,"Retain approximate qualifier."
PC-CAND-0030,input_current_behavior,not_text_locked,"reduced/low-ripple claim; no quantitative ripple locked",partial,publisher_fulltext,"Do not convert qualitative claim into a measured percentage."
PC-CAND-0030,common_ground,not_text_locked,UNRESOLVED,unresolved,publisher_fulltext,"No explicit text lock found; schematic inference prohibited."
PC-CAND-0030,main_switch_stress,"<90 V","<90 V",retained_L5,publisher_fulltext,"Existing measured upper bound remains unchanged."
PC-CAND-0030,normalized_main_switch_stress,"<0.225","<0.225",retained_L5,recalculated,"<90 V / 400 V. Bound must remain a bound."
PC-CAND-0030,max_diode_stress,not_text_locked,"approximately 200 V",text_locked_approx,publisher_fulltext,"All four diode voltage stresses reported approximately half of Vout."
PC-CAND-0030,normalized_max_diode_stress,not_text_locked,"approximately 0.5",recalculated_approx,recalculated,"~200 V / 400 V."
PC-CAND-0030,soft_switching,"main and clamp switches ZVS","main and clamp switches ZVS turn-on",retained_L5,publisher_fulltext,"Diode reverse-recovery is alleviated by leakage inductance."
PC-CAND-0030,efficiency_full_load,"95.4%","95.4%",retained_descriptor,publisher_fulltext,"Efficiency remains a descriptor; cross-paper ranking is prohibited because auxiliary/thermal/measurement boundaries are unmatched."
PC-CAND-0030,measurement_instruments,not_text_locked,UNRESOLVED,unresolved,publisher_fulltext,"No instrument field promoted in this pass."
