candidate_id,doi,source_status,evidence_level_after,experiment_locator,numeric_locator,prototype_power,input_voltage,output_voltage,switching_frequency,key_verified_claim,boundary_or_conflict,audit_decision,next_blocker
PC-CAND-0014,10.1177/0020294020944944,publisher_open_access_fulltext,L4_NUMERICALLY_VERIFIED,"Experimental results and comparisons; Fig. 12 hardware","Table 4; Figs. 21-22; Eqs. 10-15; Table 5",22 kW,"180-265 V",220 V,20 kHz,"At 100 A: Vin 180/222/244/255 V gives measured system efficiency 97/99/97/96%; processed-power fraction recalculates to 18.18/0.91/10.91/15.91%; design maximum Pconv/Ptotal=1/5","System/overall efficiency and converter efficiency are explicitly separate; 1/5 is a design/max processed-power rating and is not the ratio at every operating point",promote_L4,"Auxiliary-loss inclusion and cross-paper direction/topology normalization remain required before L5"
PC-CAND-0015,10.3390/en19020432,publisher_open_access_fulltext,L4_NUMERICALLY_VERIFIED,"Hardware test bed / experimental verification","Kp table at Vbt 350/355/360 V; efficiency curves for charging/discharging",15 kW,380 V bus,"350-360 V battery",100 kHz,"Measured processed-power ratios Kp=0.08/0.06/0.06 at Vbt=350/355/360 V; system efficiency remains above 99% and peak reported system efficiency exceeds 99.4%","Converter efficiency and total system efficiency are intentionally different metrics; charging and discharging remain direction-specific",promote_L4,"Lock exact system-efficiency scalar at each Kp point and auxiliary-loss/measurement boundary before L5"
PC-CAND-0016,10.1109/OJIES.2024.3389466,open_access_metadata_and_readable_manuscript,L2_PDF_VERIFIED,"Experimental section not fully locator-locked in this pass","99.45% experimental-efficiency claim located at abstract/fulltext summary",4 kW,"350 V class",350 V class,75 kHz,"Experimental efficiency reported as high as 99.45%","Below primary 5-25 kW COMP-PP acquisition band; same-point processed-power ratio and efficiency were not re-locked in this audit",hold_L2,"Extract full experimental figure/table locators and same-point partial-power ratio before numerical promotion"
PC-CAND-0017,10.1038/s41598-026-35857-z,publisher_open_access_fulltext,L4_NUMERICALLY_VERIFIED,"Experimental validation; Fig. 23 system/PPC efficiency","Full-load processed active power statement; Fig. 23; conclusion",1.1 kW,48 V dc bus,"40-56 V battery",not_locked,"Only 14.3% of total active power is processed at full load; peak bidirectional efficiency is 98.15%","The 14.3% full-load point and 98.15% peak-efficiency point are not assumed to be the same operating point; below primary power band",promote_L4_context,"Keep as mechanism/context evidence unless matched-point ratio and efficiency are extracted"
PC-CAND-0018,10.1109/TIA.2021.3136501,institutional_accepted_manuscript,L3_EXPERIMENT_LOCATED,"Fig. 16 hardware; Figs. 18-23 operating/dynamic tests","Figs. 24-26 efficiency and peak-current curves; Fig. 27 loss-model deviation",1 kW,200 V,"160-230 V",20 kHz,"ATPS vs SPS experimentally compared from 100-1000 W at V2=160/200/230 V; mean power-loss-model deviations 2.46/2.32/2.43%, worst case 4.15%","Exact efficiency/RMS-current scalar values and switch-level ZVS coverage are not text-locked from the plotted curves",hold_L3,"Extract numeric curve points for eta/current and switch-level ZVS locators under matched V2/load points"
PC-CAND-0019,10.1541/ieejjia.24004235,publisher_free_fulltext,L3_EXPERIMENT_LOCATED,"J-STAGE fabricated DAB prototype and experimental ZVS validation","Efficiency/loss/RMS-current plots require point extraction",1 kW stated in abstract,not_locked,not_locked,not_locked,"Abstract and publisher record verify a 1-kW small-scale prototype and wide-operating-range ZVS strategy with SJ-MOSFETs","Exact Vin/Vout/fs, efficiency curve points and RMS-current values were not fully re-locked in this pass",hold_L3,"Lock full prototype table plus numeric efficiency/RMS/ZVS points before L4/COMP-DAB admission"
PC-CAND-0020,10.1109/TPEL.2017.2774440,OSTI_record_plus_accepted_manuscript_link,L3_EXPERIMENT_LOCATED,"OSTI confirms whole CLLC converter experimental results; accepted manuscript retrieval timed out in this pass","OSTI record reports 98% efficiency and 2.9 kW/L; precise figure/table locator pending",15 kW,medium_voltage_cell_boundary_pending,400 V,500 kHz,"15 kW/500 kHz CLLC DC/DC stage demonstrated; 98% efficiency and 2.9 kW/L reported","Source explicitly belongs to a modular MV-AC-to-400-VDC architecture; converter-cell input-voltage and included-volume/auxiliary boundary still need fulltext locator",hold_L3,"Retrieve accepted manuscript and lock converter-cell voltage, efficiency figure, volume definition, and auxiliary-loss boundary"
PC-CAND-0021,10.3390/en17215496,publisher_open_access_fulltext,L3_EXPERIMENT_LOCATED,"Prototype/testbed; experimental comparison section","Efficiency-vs-load and topology comparison figures; Yokogawa WT5000 measurement basis",10.9 kW,"450-520 V","180-482 V","DAB 250 kHz; CLLC ~200 kHz resonance","Same-design-constraint DAB and CLLC prototypes target >97.5% and 5.5 kW/L; measured comparison shows DAB advantage near full load and CLLC advantage at light load under stated conditions","This is a controlled within-paper topology comparison; exact curve scalars and final included-volume boundary are not yet locked for cross-paper ranking",hold_L3,"Extract exact efficiency/load points and final volume boundary; retain DAB/CLLC frequencies separately"
PC-CAND-0022,10.1109/OJPEL.2023.3271227,publisher_version_open_access,L3_EXPERIMENT_LOCATED,"10-kW prototype experimental section; DCX-CLLC plus interleaved twin-bus buck","Published fulltext comparison/efficiency sections; exact stage-vs-total points require extraction",10 kW,800 V,"250-500 V",resonant_stage_frequency_pending,"Two-stage isolated prototype uses a resonant DCX/CLLC isolation stage and TBB post-regulation across 250-500 V","Not a pure DCX scalar comparator: DCX-stage efficiency and total two-stage efficiency must remain separate",hold_L3,"Extract resonant frequency and stage/total efficiency at identical operating points before COMP-DCX use"
PC-CAND-0023,10.3390/electronics9111965,publisher_open_access_fulltext,L4_NUMERICALLY_VERIFIED,"Fig. 13 hardware; Figs. 14-16 experimental waveforms","Experimental efficiency paragraph following Figs. 14-16",195 W,20 V,400 V,50 kHz,"Peak efficiency about 97% at 80 W; full-load efficiency about 94.5%","Simulation gives 100-V switch stress, but that value is not promoted as measured stress; gate drivers use an auxiliary source and auxiliary-loss inclusion is not explicit",promote_L4,"Lock measured switch-stress scalar and soft-switching classification before full COMP-HG metric coverage"
